source_file,trial_id,joint_index,joint_name,direction,effort_mag,test_effort,duration,q_start,q_end,q_delta,qdot_fit,stop_reason,gravity_mean,command_mean,n_samples,exclude_reason,tau_hat,fit_error
hand_friction_sweep_joint0_joint_1_1_20260811_135549.csv,1,0,joint_1_1,1,0.05,0.05,4.907951593399048,-0.38781215979314,0.8740608893987601,1.2618730491919001,0.25710788404862367,upper_limit,-0.00046708927188750054,0.04953291072811244,901,,0.04385480373033704,0.006145196269662964
hand_friction_sweep_joint0_joint_1_1_20260811_135549.csv,2,0,joint_1_1,-1,0.05,-0.05,3.7002816200256348,0.8841837990603273,-0.3628539514896211,-1.2470377505499484,-0.33701157874067683,lower_limit,-0.00036948544775900296,-0.05036948544775897,680,,-0.051390329521761126,0.001390329521761123
hand_friction_sweep_joint0_joint_1_1_20260811_135549.csv,3,0,joint_1_1,1,0.05,0.05,4.80108380317688,-0.3621558197888233,0.8752826198751562,1.2374384396639795,0.2577414788813238,upper_limit,-0.0003241562535562219,0.049675843746443724,882,,0.04391455653928443,0.006085443460715573
hand_friction_sweep_joint0_joint_1_1_20260811_135549.csv,4,0,joint_1_1,-1,0.05,-0.05,3.7434856891632076,0.8864527270879199,-0.3609340893124273,-1.2473868164003472,-0.33321532923481784,lower_limit,-0.00037386805888855383,-0.050373868058888535,688,,-0.05103231433645172,0.00103231433645172
hand_friction_sweep_joint0_joint_1_1_20260811_135549.csv,5,0,joint_1_1,1,0.05,0.05,4.818501234054565,-0.3647738136668148,0.8740608893987601,1.2388347030655749,0.25709959236082786,upper_limit,-0.00032657418085521464,0.04967342581914473,886,,0.04385402176114925,0.006145978238850755
hand_friction_sweep_joint0_joint_1_1_20260811_135549.csv,6,0,joint_1_1,-1,0.05,-0.05,3.771167516708374,0.8829620685839312,-0.3605850234620285,-1.2435470920459597,-0.32975122068599527,lower_limit,-0.0003679046384693804,-0.05036790463846935,694,,-0.05070562256813552,0.0007056225681355138
hand_friction_sweep_joint0_joint_1_1_20260811_135549.csv,7,0,joint_1_1,1,0.05,0.05,4.829791784286499,-0.3637266161156182,0.87720248205235,1.2409290981679681,0.25693221438764147,upper_limit,-0.0003228395053829856,0.049677160494616956,888,,0.04383823674596661,0.006161763254033392
hand_friction_sweep_joint0_joint_1_1_20260811_135549.csv,8,0,joint_1_1,-1,0.05,-0.05,3.792203426361084,0.891339648993504,-0.3609340893124273,-1.2522737383059312,-0.3302232495231897,lower_limit,-0.0003671181873893579,-0.05036711818738933,698,,-0.05075013847557488,0.0007501384755748755
hand_friction_sweep_joint0_joint_1_1_20260811_135549.csv,9,0,joint_1_1,1,0.05,0.05,4.818122625350952,-0.3637266161156182,0.8740608893987601,1.2377875055143783,0.2569024497221504,upper_limit,-0.00032616488183349624,0.04967383511816645,886,,0.043835429711756926,0.006164570288243076
hand_friction_sweep_joint0_joint_1_1_20260811_135549.csv,10,0,joint_1_1,-1,0.05,-0.05,3.8394439220428467,0.8817403381075352,-0.3605850234620285,-1.2423253615695637,-0.3235690862515741,lower_limit,2.4925120253713467e-05,-0.04997507487974624,706,,-0.05012260029793673,0.0001226002979367244
hand_friction_sweep_joint0_joint_1_1_20260811_135549.csv,11,0,joint_1_1,1,0.05,0.05,4.71776008605957,-0.3586651612848346,0.8745844881743584,1.233249649459193,0.26140575759740337,upper_limit,6.151770558273304e-05,0.050061517705582696,868,,0.04426012587595153,0.005739874124048472
hand_friction_sweep_joint0_joint_1_1_20260811_135549.csv,12,0,joint_1_1,-1,0.05,-0.05,3.846602201461792,0.886103661237521,-0.3625048856392222,-1.2486085468767432,-0.3246003827487659,lower_limit,1.4693275368637677e-05,-0.04998530672463133,708,,-0.05021985939694516,0.0002198593969451601
hand_friction_sweep_joint0_joint_1_1_20260811_135549.csv,13,0,joint_1_1,1,0.05,0.05,4.741076946258545,-0.3605850234620285,0.8765043503515522,1.2370893738135806,0.2609300350608818,upper_limit,6.444655277328568e-05,0.05006444655277325,872,,0.04421526162458824,0.005784738375411762
hand_friction_sweep_joint0_joint_1_1_20260811_135549.csv,14,0,joint_1_1,-1,0.05,-0.05,3.8614945411682124,0.884881930761125,-0.3621558197888233,-1.2470377505499481,-0.32294173596647985,lower_limit,1.701773499830954e-05,-0.04998298226500163,709,,-0.05006343639729603,6.343639729602946e-05
hand_friction_sweep_joint0_joint_1_1_20260811_135549.csv,15,0,joint_1_1,1,0.05,0.05,4.781482696533203,-0.3829252378875559,0.8740608893987601,1.256986127286316,0.2628862650068125,upper_limit,4.5778034508054435e-05,0.050045778034508014,879,,0.04439974897862524,0.005600251021374764
hand_friction_sweep_joint0_joint_1_1_20260811_135549.csv,16,0,joint_1_1,-1,0.05,-0.05,3.869891405105591,0.8813912722571363,-0.3621558197888233,-1.2435470920459597,-0.32133901494117745,lower_limit,1.6062843528336756e-05,-0.049983937156471626,710,,-0.04991228762164593,-8.771237835407397e-05
hand_friction_sweep_joint0_joint_1_1_20260811_135549.csv,17,0,joint_1_1,1,0.05,0.05,4.790239334106445,-0.3820525732615587,0.875631685725555,1.2576842589871138,0.2625514449836394,upper_limit,4.332700798815288e-05,0.050043327007988116,882,,0.044368172905330634,0.0056318270946693685
